id,name,dutch_name
432,Podiceps grisegena,Roodhalsfuut
433,Tachybaptus ruficollis,Dodaars
434,Charadrius montanus,Prairieplevier
435,Phalacrocorax auritus,Geoorde aalscholver
436,Phalacrocorax carbo,Aalscholver
437,Phalacrocorax penicillatus,Brandts aalscholver
438,Aechmophorus clarkii,Clarks fuut
439,Pelecanus onocrotalus,Roze pelikaan
440,Pelecanus erythrorhynchos,Witte pelikaan
441,Zenaida macroura,Treurduif
442,Vanellus miles,Maskerkievit
443,Larus occidentalis,Californische meeuw
444,Trogon massena,Massena's trogon
445,Larus thayeri,Thayers meeuw
446,Larus heermanni,Heermanns meeuw
447,Larus livens,Mexicaanse meeuw
448,Larus canus,Stormmeeuw
449,Larus glaucoides,Kleine burgemeester
450,Larus delawarensis,Ringsnavelmeeuw
451,Trogon collaris,Gekraagde trogon
452,Zenaida asiatica,Witvleugeltreurduif
453,Larus fuscus,Kleine mantelmeeuw
454,Larus californicus,Prairiemeeuw
455,Prosthemadera novaeseelandiae,Toei (vogel)
456,Trogon elegans,Koperstaarttrogon
457,Larus glaucescens,
458,Trogon citreolus,Grijskoptrogon
459,Cepphus columba,Duifzeekoet
460,Himantopus leucocephalus,Australische steltkluut
461,Cepphus grylle,Zwarte zeekoet
462,Anthornis melanura,Maori-belhoningvogel
463,Leptoptilos crumenifer,Afrikaanse maraboe
464,Threskiornis moluccus,Australische witte ibis
465,Thraupis episcopus,Bisschopstangare
466,Geranoaetus albicaudatus,Witstaartbuizerd
467,Sterna paradisaea,Noordse stern
468,Sterna hirundo,Visdief
469,Sterna forsteri,Forsters stern
470,Lanius excubitor,Klapekster
471,Pharomachrus mocinno,Quetzal (vogel)
472,Sterna striata,Tarastern
473,Stercorarius parasiticus,Kleine jager
474,Stercorarius pomarinus,Middelste jager
475,Anas gracilis,Australische taling
476,Rissa tridactyla,Drieteenmeeuw
477,Rynchops niger,Amerikaanse schaarbek
478,Alca torda,Alk (soort)
479,Fratercula arctica,Papegaaiduiker
480,Fratercula cirrhata,Kuifpapegaaiduiker
481,Turdus merula,Merel
482,Turdus plumbeus,Roodpootlijster
483,Turdus grayi,Grays lijster
484,Turdus migratorius,Roodborstlijster
485,Turdus viscivorus,Grote lijster
486,Cerorhinca monocerata,Neushoornalk
487,Turdus philomelos,Zanglijster
488,Galbula ruficauda,Roodstaartglansvogel
489,Jacana spinosa,Jacana (soort)
490,Saxicola rubicola,Roodborsttapuit
491,Upupa epops,Hop (vogel)
492,Euphagus carolinus,Zwarte troepiaal
493,Gavia pacifica,Pacifische parelduiker
494,Mimus gilvus,Tropische spotlijster
495,Passer italiae,Italiaanse mus
496,Gavia immer,IJsduiker
497,Gavia stellata,Roodkeelduiker
498,Oenanthe oenanthe,Tapuit
499,Fregata magnificens,Amerikaanse fregatvogel
500,Fregata minor,Grote fregatvogel
501,Falco subbuteo,Boomvalk
502,Falco mexicanus,Prairievalk
503,Falco femoralis,Aplomadovalk
504,Falco peregrinus,Slechtvalk
505,Falco rufigularis,Vleermuisvalk
506,Falco sparverius,Amerikaanse torenvalk
507,Strix varia,Gestreepte bosuil
508,Falco columbarius,Smelleken
509,Gallinula chloropus,Waterhoen
510,Cardellina pusilla,Wilsons zanger
511,Catharus ustulatus,Dwerglijster
512,Falco novaeseelandiae,Nieuw-Zeelandse valk
513,Catharus guttatus,Heremietlijster
514,Catharus fuscescens,Veery
515,Caracara cheriway,Noordelijke kuifcaracara
516,Herpetotheres cachinnans,Lachvalk
517,Calcarius lapponicus,IJsgors
518,Milvago chimachima,Geelkopcaracara
519,Ciconia ciconia,Ooievaar
520,Mycteria americana,Kaalkopooievaar
521,Mycteria ibis,Afrikaanse nimmerzat
522,Sialia mexicana,Blauwkeelsialia
523,Ephippiorhynchus senegalensis,Zadelbekooievaar
524,Cathartes aura,Roodkopgier
525,Myadestes townsendi,Bergsolitaire
526,Cathartes burrovianus,Kleine geelkopgier
527,Sarcoramphus papa,Koningsgier
528,Coragyps atratus,Zwarte gier
529,Strix nebulosa,Laplanduil
530,Anastomus lamelligerus,Afrikaanse gaper
531,Pluvialis squatarola,Zilverplevier
532,Gymnogyps californianus,Californische condor
533,Muscicapa striata,Grauwe vliegenvanger
534,Charadrius vociferus,Killdeerplevier
535,Charadrius wilsonia,Dikbekplevier
536,Charadrius melodus,Dwergplevier
537,Phoenicurus phoenicurus,Gekraagde roodstaart
538,Phoenicurus ochruros,Zwarte roodstaart
539,Charadrius dubius,Kleine plevier
540,Eumomota superciliosa,Wenkbrauwmotmot
541,Anas querquedula,Zomertaling
542,Himantopus mexicanus,Amerikaanse steltkluut
543,Haematopus bachmani,Noord-Amerikaanse zwarte scholekster
544,Pica pica,Ekster
545,Haematopus ostralegus,Scholekster
546,Haematopus unicolor,Nieuw-Zeelandse zwarte scholekster
547,Vanellus vanellus,Kievit
548,Vanellus spinosus,Sporenkievit
549,Vanellus armatus,Smidsplevier
550,Luscinia svecica,Blauwborst
551,Columbina inca,Incaduif
552,Recurvirostra avosetta,Kluut
553,Phasianus colchicus,Fazant
554,Pluvialis dominica,Amerikaanse goudplevier
555,Cinclus mexicanus,Noord-Amerikaanse waterspreeuw
556,Erithacus rubecula,Roodborst
557,Melanerpes aurifrons,Goudvoorhoofdspecht
558,Charadrius hiaticula,Bontbekplevier
559,Egretta gularis,Westelijke rifreiger
560,Egretta caerulea,Kleine blauwe reiger
561,Egretta tricolor,Witbuikreiger
562,Egretta thula,Amerikaanse kleine zilverreiger
563,Egretta garzetta,Kleine zilverreiger
564,Egretta sacra,Oostelijke rifreiger
565,Monticola solitarius,Blauwe rotslijster
566,Ardea cocoi,Sokoireiger
567,Ardea cinerea,Blauwe reiger
568,Ardea herodias,Amerikaanse blauwe reiger
569,Nycticorax nycticorax,Kwak (vogel)
570,Turdus rufopalliatus,Roestruglijster
571,Ardeola ralloides,Ralreiger
572,Nyctanassa violacea,Geelkruinkwak
